Key,Value
9,"1. Farm
2. Factory
3. Lab
4. Workshop
5. Jungle
6. Winery
7. Park
8. Coffee shop
9. Vineyard
10. Garden
11. Waterfall

I am en route to Vineyard"
0,"1. Farm
2. Factory
3. Lab
4. Workshop
5. Jungle
6. Winery
7. Park
8. Coffee shop
9. Garden
10. Waterfall

I take a trip to Vineyard"
8,"1. Restaurant
2. Jungle
3. Aquarium
4. Office building
5. Stadium
6. University
7. Ski resort
8. Office
9. Daycare
10. Park
11. Movie theater

I'm preparing to head to Office"
0,"1. Restaurant
2. Jungle
3. Aquarium
4. Office building
5. Stadium
6. University
7. Ski resort
8. Daycare
9. Park
10. Movie theater

I'm venturing to Office"
4,"1. Airport
2. Wetland
3. Waterfall
4. Jungle
5. Winery
6. Island
7. Factory
8. Museum
9. Village
10. Forest
11. Suburb
12. Circus
13. Beach
14. Sun
15. Cabin
16. Vineyard
17. Volcano

I'm making a trip to Jungle"
0,"1. Airport
2. Wetland
3. Waterfall
4. Winery
5. Island
6. Factory
7. Museum
8. Village
9. Forest
10. Suburb
11. Circus
12. Beach
13. Sun
14. Cabin
15. Vineyard
16. Volcano

I'm venturing to Jungle"
13,"1. Restaurant
2. Ski resort
3. Ice cream parlor
4. Countryside
5. Shopping mall
6. Cemetery
7. Circus
8. Underwater cave
9. Spa
10. Beach resort
11. Daycare
12. Park
13. Museum
14. Beach
15. Jungle
16. Garden
17. Office building

I'm stepping towards Museum"
0,"1. Restaurant
2. Ski resort
3. Ice cream parlor
4. Countryside
5. Shopping mall
6. Cemetery
7. Circus
8. Underwater cave
9. Spa
10. Beach resort
11. Daycare
12. Park
13. Beach
14. Jungle
15. Garden
16. Office building

I'm preparing to travel to Museum"
7,"1. Lab
2. Factory
3. River
4. Campsite
5. Office building
6. Ski resort
7. Television studio
8. Gym
9. Hospital
10. Underwater cave
11. Town
12. Office
13. Volcano
14. Library
15. Jupiter
16. Mountain

I'm about to walk to Television studio"
0,"1. Lab
2. Factory
3. River
4. Campsite
5. Office building
6. Ski resort
7. Gym
8. Hospital
9. Underwater cave
10. Town
11. Office
12. Volcano
13. Library
14. Jupiter
15. Mountain

I'm marching to Television studio"
9,"1. Planetarium
2. Skyscraper
3. Cemetery
4. Cruise ship
5. River
6. Jungle
7. Garden
8. Circus
9. Factory
10. Wildlife sanctuary
11. Bookstore
12. Radio station
13. Botanical garden
14. Town
15. Studio
16. Vineyard
17. Aquarium
18. Observatory
19. Movie theater

I'm starting to Factory"
0,"1. Planetarium
2. Skyscraper
3. Cemetery
4. Cruise ship
5. River
6. Jungle
7. Garden
8. Circus
9. Wildlife sanctuary
10. Bookstore
11. Radio station
12. Botanical garden
13. Town
14. Studio
15. Vineyard
16. Aquarium
17. Observatory
18. Movie theater

I'm navigating towards Factory"
5,"1. School
2. Historical site
3. Workshop
4. Amusement park
5. Island
6. Lighthouse
7. Library
8. Village
9. Campground
10. Castle
11. Moon
12. Hospital
13. Countryside
14. Kindergarten

I'm traveling towards Island"
0,"1. School
2. Historical site
3. Workshop
4. Amusement park
5. Lighthouse
6. Library
7. Village
8. Campground
9. Castle
10. Moon
11. Hospital
12. Countryside
13. Kindergarten

I'm on the path to Island"
6,"1. Ice cream parlor
2. Skyscraper
3. Wildlife sanctuary
4. Waterfall
5. Office
6. Beach
7. Cruise ship
8. Cemetery
9. Bookstore

I'm stepping to Beach"
0,"1. Ice cream parlor
2. Skyscraper
3. Wildlife sanctuary
4. Waterfall
5. Office
6. Cruise ship
7. Cemetery
8. Bookstore

I'm moving towards Beach"
15,"1. Observatory
2. Restaurant
3. Stadium
4. Suburb
5. Desert
6. Mountain
7. Haunted house
8. Concert hall
9. Vineyard
10. Library
11. Town
12. Museum
13. Planet
14. Radio station
15. Aquarium
16. Park
17. Cinema
18. Farmers' market
19. Farm market

I'm entering Aquarium"
0,"1. Observatory
2. Restaurant
3. Stadium
4. Suburb
5. Desert
6. Mountain
7. Haunted house
8. Concert hall
9. Vineyard
10. Library
11. Town
12. Museum
13. Planet
14. Radio station
15. Park
16. Cinema
17. Farmers' market
18. Farm market

I'm venturing towards Aquarium"
1,"1. Observatory
2. Sun

I'm off to Observatory"
0,"1. Sun

I'm headed to Observatory"
1,"1. Forest
2. Zoo
3. Bakery
4. Circus
5. Campground
6. Museum
7. Cave
8. Bookstore
9. Farm
10. Art gallery
1. Forest
12. Underground
13. Amusement park
14. Spa
15. River

I'm journeying towards Forest"
0,"1. Zoo
2. Bakery
3. Circus
4. Campground
5. Museum
6. Cave
7. Bookstore
8. Farm
9. Art gallery
10. Forest
11. Underground
12. Amusement park
13. Spa
14. River

I prepare to go to Forest"
7,"1. Airport
2. Forest
3. Circus
4. Island
5. Lab
6. Tea house
7. Wildlife sanctuary
8. Garden
9. Restaurant
10. Stadium
11. Space station
12. Rainforest
13. Ice cream parlor
14. Winery
15. Television studio
16. Museum
17. Wetland
18. Farm
19. Park

I'm marching to Wildlife sanctuary"
0,"1. Airport
2. Forest
3. Circus
4. Island
5. Lab
6. Tea house
7. Garden
8. Restaurant
9. Stadium
10. Space station
11. Rainforest
12. Ice cream parlor
13. Winery
14. Television studio
15. Museum
16. Wetland
17. Farm
18. Park

I'm moving towards Wildlife sanctuary"
1,"1. Countryside
2. Planetarium
3. Town
4. Restaurant
5. Coffee shop
6. Cabin
7. Tea house
8. Village
9. Train station
10. Shopping mall

I'm making a trip to Countryside"
0,"1. Planetarium
2. Town
3. Restaurant
4. Coffee shop
5. Cabin
6. Tea house
7. Village
8. Train station
9. Shopping mall

I'm navigating to Countryside"
4,"1. School
2. Volcano
3. Carnival
4. Television studio
5. Sculpture park
6. Orchard
7. Bookstore
8. Tea house
9. Sun
10. Town
11. Planet
12. Jupiter
13. Restaurant
14. Cruise ship
15. Kindergarten
16. Botanical garden
17. Skyscraper

I'm entering Television studio"
0,"1. School
2. Volcano
3. Carnival
4. Sculpture park
5. Orchard
6. Bookstore
7. Tea house
8. Sun
9. Town
10. Planet
11. Jupiter
12. Restaurant
13. Cruise ship
14. Kindergarten
15. Botanical garden
16. Skyscraper

I'm about to set off to Television studio"
3,"1. Farm
2. Observatory
3. Cabin
4. Jungle
5. Factory
6. Kindergarten
7. Office building
8. Ski resort
9. Concert hall
10. Daycare
11. Ice cream parlor

I'm making a trip towards Cabin"
0,"1. Farm
2. Observatory
3. Jungle
4. Factory
5. Kindergarten
6. Office building
7. Ski resort
8. Concert hall
9. Daycare
10. Ice cream parlor

I'm moving towards Cabin"
5,"1. Spa
2. Campsite
3. Tea house
4. Desert
5. Haunted house
6. Ice cream parlor
7. Underwater cave
8. Lighthouse
9. Volcano
10. Beach resort
11. Orchard
12. Space station

I'm entering Haunted house"
0,"1. Spa
2. Campsite
3. Tea house
4. Desert
5. Ice cream parlor
6. Underwater cave
7. Lighthouse
8. Volcano
9. Beach resort
10. Orchard
11. Space station

I set off for Haunted house"
1,"1. Forest
2. Zoo
3. Observatory
4. Hospital
1. Forest
6. Airport
7. Cabin
8. Bookstore

I go to Forest"
0,"1. Zoo
2. Observatory
3. Hospital
4. Forest
5. Airport
6. Cabin
7. Bookstore

I'm advancing to Forest"
5,"1. Factory
2. City
3. Jungle
4. Rainforest
5. Movie theater

I'm strolling to Movie theater"
0,"1. Factory
2. City
3. Jungle
4. Rainforest

I'm starting towards Movie theater"
12,"1. Island
2. Radio station
3. Gym
4. Underwater cave
5. University
6. Castle
7. Art gallery
8. Garden
9. Airport
10. Haunted house
11. Underground
12. Sculpture park
13. Cinema

I'm on the path to Sculpture park"
0,"1. Island
2. Radio station
3. Gym
4. Underwater cave
5. University
6. Castle
7. Art gallery
8. Garden
9. Airport
10. Haunted house
11. Underground
12. Cinema

I proceed to Sculpture park"
12,"1. Beach
2. Haunted house
3. University
4. Moon
5. Campsite
6. Circus
7. Lake
8. Park
9. Lab
10. Radio station
11. Movie theater
12. Forest
13. Sun
14. Mountain

I'm en route to Forest"
0,"1. Beach
2. Haunted house
3. University
4. Moon
5. Campsite
6. Circus
7. Lake
8. Park
9. Lab
10. Radio station
11. Movie theater
12. Sun
13. Mountain

I'm advancing towards Forest"
8,"1. Ice cream parlor
2. Ski resort
3. Moon
4. Airport
5. Castle
6. Radio station
7. Cemetery
8. Circus
9. Lab
10. Kindergarten

I'm en route to Circus"
0,"1. Ice cream parlor
2. Ski resort
3. Moon
4. Airport
5. Castle
6. Radio station
7. Cemetery
8. Lab
9. Kindergarten

I start for Circus"
1,"1. Office building
2. Microbrewery
3. Gym
4. Daycare
5. Desert
6. Campsite
7. School
8. Historical site
9. Village

I'm stepping to Office building"
0,"1. Microbrewery
2. Gym
3. Daycare
4. Desert
5. Campsite
6. School
7. Historical site
8. Village

I'm on my way to Office building"
12,"1. College
2. Space station
3. Sun
4. Lighthouse
5. Tea house
6. University
7. Library
8. Garden
9. Farm market
10. Bakery
11. Shopping mall
12. Cafe
13. Daycare
14. Jupiter

I go to Cafe"
0,"1. College
2. Space station
3. Sun
4. Lighthouse
5. Tea house
6. University
7. Library
8. Garden
9. Farm market
10. Bakery
11. Shopping mall
12. Daycare
13. Jupiter

I'm entering Cafe"
5,"1. Cemetery
2. Radio station
3. Ice cream parlor
4. Lab
5. Beach resort
6. Stadium
7. Wildlife sanctuary
8. Suburb
9. Volcano
10. Farm

I'm on my way to Beach resort"
0,"1. Cemetery
2. Radio station
3. Ice cream parlor
4. Lab
5. Stadium
6. Wildlife sanctuary
7. Suburb
8. Volcano
9. Farm

I'm making my way to Beach resort"
14,"1. Village
2. Movie theater
3. Campground
4. Museum
5. Cabin
6. School
7. Concert hall
8. Historical site
9. Television studio
10. Underwater cave
11. Vineyard
12. Jungle
13. Jupiter
14. Moon
15. Underground
16. Studio
17. Forest
18. Rainforest

I'm making a trip to Moon"
0,"1. Village
2. Movie theater
3. Campground
4. Museum
5. Cabin
6. School
7. Concert hall
8. Historical site
9. Television studio
10. Underwater cave
11. Vineyard
12. Jungle
13. Jupiter
14. Underground
15. Studio
16. Forest
17. Rainforest

I proceed to Moon"
5,"1. Beach
2. Shopping mall
3. Wildlife sanctuary
4. Mountain
5. Underground
6. Lighthouse
7. Farmers' market
8. Island
9. Countryside
10. Cruise ship
11. Beach resort
12. Concert hall
13. Lake
14. Ski resort
15. Cabin
16. Village
17. Botanical garden
18. Office building
19. Winery
20. Sun

I'm marching to Underground"
0,"1. Beach
2. Shopping mall
3. Wildlife sanctuary
4. Mountain
5. Lighthouse
6. Farmers' market
7. Island
8. Countryside
9. Cruise ship
10. Beach resort
11. Concert hall
12. Lake
13. Ski resort
14. Cabin
15. Village
16. Botanical garden
17. Office building
18. Winery
19. Sun

I'm taking a journey to Underground"
3,"1. Volcano
2. Bookstore
3. Museum
4. School

I'm traveling to Museum"
0,"1. Volcano
2. Bookstore
3. School

I proceed to Museum"
12,"1. Campsite
2. Tea house
3. Zoo
4. Beach
5. Space station
6. Factory
7. Rainforest
8. Train station
9. Restaurant
10. Winery
11. Castle
12. Museum
13. Cruise ship
14. University
15. Village
16. Stadium
17. Ski resort
6. Factory
19. Cabin

I'm advancing towards Museum"
0,"1. Campsite
2. Tea house
3. Zoo
4. Beach
5. Space station
6. Factory
7. Rainforest
8. Train station
9. Restaurant
10. Winery
11. Castle
12. Cruise ship
13. University
14. Village
15. Stadium
16. Ski resort
6. Factory
18. Cabin

I'm journeying towards Museum"
1,"1. Farm market
2. Waterfall
3. College
4. Sculpture park
5. Workshop
6. Office building
7. Garden
8. Bakery
9. Observatory
10. River
11. Countryside
12. Zoo
13. Wetland
14. Village
15. Orchard
16. Beach
17. Gym
18. Vineyard
19. Campsite

I'm on the way to Farm market"
0,"1. Waterfall
2. College
3. Sculpture park
4. Workshop
5. Office building
6. Garden
7. Bakery
8. Observatory
9. River
10. Countryside
11. Zoo
12. Wetland
13. Village
14. Orchard
15. Beach
16. Gym
17. Vineyard
18. Campsite

I'm on my way to Farm market"
10,"1. Carnival
2. Lighthouse
3. Stadium
4. Underground
5. Historical site
6. Moon
7. Wetland
8. Jungle
9. River
10. Workshop

I'm departing to Workshop"
0,"1. Carnival
2. Lighthouse
3. Stadium
4. Underground
5. Historical site
6. Moon
7. Wetland
8. Jungle
9. River

I start for Workshop"
2,"1. Factory
2. Radio station

I'm journeying towards Radio station"
0,"1. Factory

I'm making my way towards Radio station"
4,"1. Airport
2. Coffee shop
3. Aquarium
4. Spa

I'm making my way towards Spa"
0,"1. Airport
2. Coffee shop
3. Aquarium

I'm on the way to Spa"
1,"1. Wildlife sanctuary
2. Kindergarten

I venture to Wildlife sanctuary"
0,"1. Kindergarten

I'm about to head to Wildlife sanctuary"
13,"1. Planetarium
2. Lab
3. School
4. Castle
5. Orchard
6. Sculpture park
7. Restaurant
8. University
9. Gym
10. Circus
11. Town
12. Farmers' market
13. Beach resort
14. Carnival

I set off for Beach resort"
0,"1. Planetarium
2. Lab
3. School
4. Castle
5. Orchard
6. Sculpture park
7. Restaurant
8. University
9. Gym
10. Circus
11. Town
12. Farmers' market
13. Carnival

I start for Beach resort"
3,"1. Concert hall
2. Suburb
3. Island
4. Library
5. Rainforest
6. Factory

I'm journeying towards Island"
0,"1. Concert hall
2. Suburb
3. Library
4. Rainforest
5. Factory

I'm journeying towards Island"
1,"1. Wetland
2. Underground
3. Jungle
4. Television studio
5. Cafe
6. Waterfall
7. Beach
8. Restaurant

I'm stepping towards Wetland"
0,"1. Underground
2. Jungle
3. Television studio
4. Cafe
5. Waterfall
6. Beach
7. Restaurant

I'm strolling towards Wetland"
12,"1. Historical site
2. Cinema
3. Workshop
4. Kindergarten
5. Moon
6. Lab
7. Suburb
8. Spa
9. Jupiter
10. Mountain
11. Campground
12. Radio station

I'm entering Radio station"
0,"1. Historical site
2. Cinema
3. Workshop
4. Kindergarten
5. Moon
6. Lab
7. Suburb
8. Spa
9. Jupiter
10. Mountain
11. Campground

I'm walking to Radio station"
4,"1. Stadium
2. Carnival
3. Gym
4. Wetland
5. Underwater cave
6. Forest
7. Farm market
8. Cinema
9. Island
10. Campsite
11. Kindergarten
12. Microbrewery
13. Park
14. Desert
15. Factory
16. Jungle
17. Underground
18. Cruise ship
19. Library

I'm advancing towards Wetland"
0,"1. Stadium
2. Carnival
3. Gym
4. Underwater cave
5. Forest
6. Farm market
7. Cinema
8. Island
9. Campsite
10. Kindergarten
11. Microbrewery
12. Park
13. Desert
14. Factory
15. Jungle
16. Underground
17. Cruise ship
18. Library

I'm heading to Wetland"
2,"1. Spa
2. Orchard
3. Bakery
4. Wetland
5. Daycare
6. Office building
7. School
8. Gym
9. City
10. Aquarium
11. Movie theater
12. Office
13. River
14. Jupiter
15. Park
16. Workshop

I'm stepping into Orchard"
0,"1. Spa
2. Bakery
3. Wetland
4. Daycare
5. Office building
6. School
7. Gym
8. City
9. Aquarium
10. Movie theater
11. Office
12. River
13. Jupiter
14. Park
15. Workshop

I'm advancing towards Orchard"
1,"1. Sun
2. Cemetery
3. Train station
4. Forest

I journey to Sun"
0,"1. Cemetery
2. Train station
3. Forest

I'm heading towards Sun"
2,"1. Radio station
2. Wildlife sanctuary

I'm entering Wildlife sanctuary"
0,"1. Radio station

I'm navigating towards Wildlife sanctuary"
7,"1. Workshop
2. City
3. Village
4. Cave
5. Underground
6. Hospital
7. Beach
8. Jungle
9. Office
10. Cabin
11. Library
12. Castle
13. Bookstore

I set out for Beach"
0,"1. Workshop
2. City
3. Village
4. Cave
5. Underground
6. Hospital
7. Jungle
8. Office
9. Cabin
10. Library
11. Castle
12. Bookstore

I'm en route to Beach"
11,"1. Botanical garden
2. Airport
3. Workshop
4. Cafe
5. Island
6. Town
7. Cinema
8. Mountain
9. Sun
10. University
11. Zoo
12. Cemetery
13. Planetarium
14. Concert hall
15. Waterfall
16. Winery
17. Circus
18. Library
19. River
20. Gym

I'm taking a journey to Zoo"
0,"1. Botanical garden
2. Airport
3. Workshop
4. Cafe
5. Island
6. Town
7. Cinema
8. Mountain
9. Sun
10. University
11. Cemetery
12. Planetarium
13. Concert hall
14. Waterfall
15. Winery
16. Circus
17. Library
18. River
19. Gym

I'm strolling to Zoo"
1,"1. Rainforest
2. Coffee shop
3. Library
4. Cemetery
5. Bookstore
6. Beach resort
7. Train station
8. Park
9. Planetarium
10. Daycare
11. Volcano
12. Tea house
13. Restaurant

I'm about to journey to Rainforest"
0,"1. Coffee shop
2. Library
3. Cemetery
4. Bookstore
5. Beach resort
6. Train station
7. Park
8. Planetarium
9. Daycare
10. Volcano
11. Tea house
12. Restaurant

I'm starting towards Rainforest"
7,"1. Island
2. Cemetery
3. Village
4. Wetland
5. Ski resort
6. Hospital
7. Concert hall
8. Ice cream parlor
9. Microbrewery
10. Wildlife sanctuary
11. Orchard

I journey to Concert hall"
0,"1. Island
2. Cemetery
3. Village
4. Wetland
5. Ski resort
6. Hospital
7. Ice cream parlor
8. Microbrewery
9. Wildlife sanctuary
10. Orchard

I'm on my way to Concert hall"
6,"1. Winery
2. Desert
3. Observatory
4. Botanical garden
5. Wetland
6. Jungle
7. Gym
8. Factory
9. Safari park
10. Cinema
11. Lake
12. Farmers' market

I'm journeying to Jungle"
0,"1. Winery
2. Desert
3. Observatory
4. Botanical garden
5. Wetland
6. Gym
7. Factory
8. Safari park
9. Cinema
10. Lake
11. Farmers' market

I'm about to journey to Jungle"
7,"1. Microbrewery
2. Cafe
3. Office building
4. Stadium
5. Space station
6. Safari park
7. Botanical garden

I'm starting to Botanical garden"
0,"1. Microbrewery
2. Cafe
3. Office building
4. Stadium
5. Space station
6. Safari park

I'm making a trip to Botanical garden"
2,"1. Campground
2. Wildlife sanctuary
3. Jupiter
4. Radio station
5. Safari park
6. Kindergarten
7. Office building
8. Beach resort
9. Rainforest
10. Cabin
11. Factory
12. Winery
13. Forest
14. Cave
15. Mountain

I'm traveling to Wildlife sanctuary"
0,"1. Campground
2. Jupiter
3. Radio station
4. Safari park
5. Kindergarten
6. Office building
7. Beach resort
8. Rainforest
9. Cabin
10. Factory
11. Winery
12. Forest
13. Cave
14. Mountain

I'm about to go to Wildlife sanctuary"
8,"1. Gym
2. Planet
3. Television studio
4. Factory
5. Zoo
6. Kindergarten
7. Aquarium
8. Safari park
9. City
10. College

I proceed to Safari park"
0,"1. Gym
2. Planet
3. Television studio
4. Factory
5. Zoo
6. Kindergarten
7. Aquarium
8. City
9. College

I'm departing for Safari park"
4,"1. Movie theater
2. Ski resort
3. Haunted house
4. Wildlife sanctuary
5. Aquarium
6. Factory
7. Botanical garden
8. Tea house
9. Museum
10. Bookstore
11. Concert hall
12. River
13. Train station

I'm walking to Wildlife sanctuary"
0,"1. Movie theater
2. Ski resort
3. Haunted house
4. Aquarium
5. Factory
6. Botanical garden
7. Tea house
8. Museum
9. Bookstore
10. Concert hall
11. River
12. Train station

I travel to Wildlife sanctuary"
2,"1. Waterfall
2. Forest
3. Office
4. College

I move towards Forest"
0,"1. Waterfall
2. Office
3. College

I'm entering Forest"
16,"1. Airport
2. Sun
3. City
4. Forest
5. Orchard
6. Underwater cave
7. Island
8. Suburb
9. Wetland
10. Beach
11. Sculpture park
12. Concert hall
13. Zoo
14. Movie theater
15. Safari park
16. Space station

I'm strolling to Space station"
0,"1. Airport
2. Sun
3. City
4. Forest
5. Orchard
6. Underwater cave
7. Island
8. Suburb
9. Wetland
10. Beach
11. Sculpture park
12. Concert hall
13. Zoo
14. Movie theater
15. Safari park

I proceed to Space station"
11,"1. City
2. Farm market
3. Office
4. Jungle
5. Tea house
6. Lake
7. Lab
8. Cinema
9. Daycare
10. Aquarium
11. Mountain
12. Art gallery

I'm entering Mountain"
0,"1. City
2. Farm market
3. Office
4. Jungle
5. Tea house
6. Lake
7. Lab
8. Cinema
9. Daycare
10. Aquarium
11. Art gallery

I'm entering Mountain"
4,"1. College
2. Safari park
3. Kindergarten
4. Stadium
5. Train station
6. Spa
7. Cafe
8. Cinema

I visit Stadium"
0,"1. College
2. Safari park
3. Kindergarten
4. Train station
5. Spa
6. Cafe
7. Cinema

I'm journeying towards Stadium"
6,"1. College
2. Farm market
3. Zoo
4. Microbrewery
5. Castle
6. Countryside
7. Underground
8. Park
9. Vineyard
10. Safari park
11. Daycare
12. Underwater cave
13. Cave
14. Museum
15. Office building
16. Cafe
17. Factory
18. Office
19. Farmers' market

I'm making a trip towards Countryside"
0,"1. College
2. Farm market
3. Zoo
4. Microbrewery
5. Castle
6. Underground
7. Park
8. Vineyard
9. Safari park
10. Daycare
11. Underwater cave
12. Cave
13. Museum
14. Office building
15. Cafe
16. Factory
17. Office
18. Farmers' market

I'm off to Countryside"
3,"1. Bakery
2. Winery
3. Television studio
4. Art gallery

I'm starting to Television studio"
0,"1. Bakery
2. Winery
3. Art gallery

I'm heading to Television studio"
3,"1. Town
2. Workshop
3. Wetland
4. Farm
5. Beach resort
6. Concert hall
7. Historical site
8. Rainforest
9. Stadium
10. Movie theater
11. Haunted house
12. Wildlife sanctuary
13. Jungle
14. Cruise ship
15. Mountain
16. Observatory
17. Island

I'm moving to Wetland"
0,"1. Town
2. Workshop
3. Farm
4. Beach resort
5. Concert hall
6. Historical site
7. Rainforest
8. Stadium
9. Movie theater
10. Haunted house
11. Wildlife sanctuary
12. Jungle
13. Cruise ship
14. Mountain
15. Observatory
16. Island

I'm proceeding to Wetland"
3,"1. Castle
2. Island
3. Daycare
4. Cabin
5. Jungle
6. Ski resort
7. Haunted house

I'm moving towards Daycare"
0,"1. Castle
2. Island
3. Cabin
4. Jungle
5. Ski resort
6. Haunted house

I'm stepping to Daycare"
7,"1. College
2. Underwater cave
3. Restaurant
4. Wetland
5. Park
6. Factory
7. Art gallery
8. Lab
9. Museum
10. Jungle
11. Farmers' market
12. Television studio
13. Planet
14. Island
15. Planetarium

I'm making a trip towards Art gallery"
0,"1. College
2. Underwater cave
3. Restaurant
4. Wetland
5. Park
6. Factory
7. Lab
8. Museum
9. Jungle
10. Farmers' market
11. Television studio
12. Planet
13. Island
14. Planetarium

I'm traveling to Art gallery"
