Key,Value
2,"1. Room
2. Levi
3. Alexander
4. Penelope
5. Lucas
6. Hannah

What is Alexander's favorite hobby?"
3,"1. Room
2. Levi
3. Alexander
4. Penelope
5. Lucas
6. Hannah

What is Penelope's favorite hobby?"
4,"1. Room
2. Levi
3. Alexander
4. Penelope
5. Lucas
6. Hannah

What are Lucas's hobbies?"
5,"1. Room
2. Levi
3. Alexander
4. Penelope
5. Lucas
6. Hannah

What are Hannah's interests?"
0,"1. Room
2. Owen
3. Samuel
4. Claire
5. Christian
6. Penelope

What type of flooring is in the room?"
1,"1. Room
2. Owen
3. Samuel
4. Claire
5. Christian
6. Penelope

What did Owen think of the presentation?"
2,"1. Room
2. Owen
3. Samuel
4. Claire
5. Christian
6. Penelope

Do you know Samuel personally?"
3,"1. Room
2. Owen
3. Samuel
4. Claire
5. Christian
6. Penelope

What is Claire's favorite hobby?"
4,"1. Room
2. Owen
3. Samuel
4. Claire
5. Christian
6. Penelope

What type of work does Christian do?"
5,"1. Room
2. Owen
3. Samuel
4. Claire
5. Christian
6. Penelope

What is Penelope's favorite hobby?"
0,"1. Room
2. Audrey
3. Matthew

What type of furniture is in the room?"
1,"1. Room
2. Audrey
3. Matthew

What kind of work does Audrey do?"
2,"1. Room
2. Audrey
3. Matthew

What is Matthew's favorite activity?"
0,"1. Room
2. Dylan
3. Nathan
4. William

What materials are used in the walls of this room?"
1,"1. Room
2. Dylan
3. Nathan
4. William

What is Dylan's favorite food?"
2,"1. Room
2. Dylan
3. Nathan
4. William

What is Nathan's favorite hobby?"
3,"1. Room
2. Dylan
3. Nathan
4. William

What is William's favorite hobby?"
0,"1. Room
2. Alexander
3. Landon
4. Charlotte

What is the temperature of the room?"
1,"1. Room
2. Alexander
3. Landon
4. Charlotte

What kind of personality traits does Alexander have?"
2,"1. Room
2. Alexander
3. Landon
4. Charlotte

What interests does Landon have?"
3,"1. Room
2. Alexander
3. Landon
4. Charlotte

What is Charlotte's favorite hobby?"
0,"1. Room
2. Abigail
3. Joshua
4. Ella

Where is the light switch located?"
1,"1. Room
2. Abigail
3. Joshua
4. Ella

What are Abigail's hobbies?"
2,"1. Room
2. Abigail
3. Joshua
4. Ella

What is Joshua's favorite hobby?"
3,"1. Room
2. Abigail
3. Joshua
4. Ella

What is Ella's favorite activity?"
0,"1. Room
2. Jackson
3. Brooklyn

What is the temperature of the room?"
1,"1. Room
2. Jackson
3. Brooklyn

What is Jackson's role in this room?"
2,"1. Room
2. Jackson
3. Brooklyn

What has been Brooklyn's biggest accomplishment this year?"
0,"1. Room
2. Dylan
3. Ella

What is the capacity of the room?"
1,"1. Room
2. Dylan
3. Ella

What is Dylan most passionate about?"
2,"1. Room
2. Dylan
3. Ella

What is Ella's favorite activity?"
0,"1. Room
2. Caleb
3. Owen
4. David
5. Evan

What type of flooring does this room have?"
1,"1. Room
2. Caleb
3. Owen
4. David
5. Evan

What kind of hobbies does Caleb enjoy?"
2,"1. Room
2. Caleb
3. Owen
4. David
5. Evan

What did Owen think of the presentation?"
3,"1. Room
2. Caleb
3. Owen
4. David
5. Evan

What does David like to do in his free time?"
4,"1. Room
2. Caleb
3. Owen
4. David
5. Evan

What is Evan's favorite hobby?"
0,"1. Room
2. Jordan
3. Joseph
4. Anthony

What type of furniture is in the room?"
1,"1. Room
2. Jordan
3. Joseph
4. Anthony

What brings Jordan to this room today?"
2,"1. Room
2. Jordan
3. Joseph
4. Anthony

What is Joseph's favorite hobby?"
3,"1. Room
2. Jordan
3. Joseph
4. Anthony

What is Anthony's favorite hobby?"
0,"1. Room
2. William
3. Nora
4. Christian
5. Olivia

What color are the walls?"
1,"1. Room
2. William
3. Nora
4. Christian
5. Olivia

What does William do for a living?"
2,"1. Room
2. William
3. Nora
4. Christian
5. Olivia

Where is Nora from?"
3,"1. Room
2. William
3. Nora
4. Christian
5. Olivia

What are Christian's hobbies and interests?"
4,"1. Room
2. William
3. Nora
4. Christian
5. Olivia

What are Olivia's hobbies?"
0,"1. Room
2. Caleb
3. Audrey
4. Emilia

What is the approximate square footage of this room?"
1,"1. Room
2. Caleb
3. Audrey
4. Emilia

What are Caleb's interests?"
2,"1. Room
2. Caleb
3. Audrey
4. Emilia

What kind of job does Audrey do?"
3,"1. Room
2. Caleb
3. Audrey
4. Emilia

What does Emilia like to do in her free time?"
0,"1. Room
2. Skylar
3. Eli

What type of furniture is in the room?"
1,"1. Room
2. Skylar
3. Eli

What does Skylar do for a living?"
2,"1. Room
2. Skylar
3. Eli

""What did Eli think of the presentation we just saw?"""
0,"1. Room
2. Grace
3. Leah

What color is the carpet/rug in this room?"
1,"1. Room
2. Grace
3. Leah

What would you say are some of your greatest strengths, Grace?"
2,"1. Room
2. Grace
3. Leah

What does Leah do for work?"
0,"1. Room
2. William
3. Ariana
4. Isaac
5. Jackson

What type of furniture is in the room?"
1,"1. Room
2. William
3. Ariana
4. Isaac
5. Jackson

What does William do for a living?"
2,"1. Room
2. William
3. Ariana
4. Isaac
5. Jackson

What is Ariana's opinion on the topic we are discussing?"
3,"1. Room
2. William
3. Ariana
4. Isaac
5. Jackson

What are Isaac's interests?"
4,"1. Room
2. William
3. Ariana
4. Isaac
5. Jackson

How is Jackson feeling today?"
0,"1. Room
2. Tyler
3. Skylar
4. Ava
5. Ethan

What is the temperature of the room?"
1,"1. Room
2. Tyler
3. Skylar
4. Ava
5. Ethan

What does Tyler like to do for fun?"
2,"1. Room
2. Tyler
3. Skylar
4. Ava
5. Ethan

""What is Skylar's favorite hobby?"""
3,"1. Room
2. Tyler
3. Skylar
4. Ava
5. Ethan

What hobbies does Ava enjoy?"
4,"1. Room
2. Tyler
3. Skylar
4. Ava
5. Ethan

What are Ethan's interests?"
0,"1. Room
2. Penelope
3. Aria

What is the temperature in the room?"
1,"1. Room
2. Penelope
3. Aria

What type of conversations does Penelope enjoy discussing?"
2,"1. Room
2. Penelope
3. Aria

What is Aria's favorite activity?"
0,"1. Room
2. Aiden
3. Skylar

What is the temperature in this room?"
1,"1. Room
2. Aiden
3. Skylar

""What is Aiden's favorite hobby?"""
2,"1. Room
2. Aiden
3. Skylar

What hobbies does Skylar enjoy?"
0,"1. Room
2. Sophia
3. Isaac
4. Harper
5. Scarlett

What type of furniture is in the room?"
1,"1. Room
2. Sophia
3. Isaac
4. Harper
5. Scarlett

What does Sophia think about the current situation in the room?"
2,"1. Room
2. Sophia
3. Isaac
4. Harper
5. Scarlett

What is Isaac's favorite hobby?"
3,"1. Room
2. Sophia
3. Isaac
4. Harper
5. Scarlett

What is Harper's favorite hobby?"
4,"1. Room
2. Sophia
3. Isaac
4. Harper
5. Scarlett

How long have you known Scarlett?"
0,"1. Room
2. Sophia
3. James
4. Claire
5. John
6. Aiden

What kind of lighting does the room have?"
1,"1. Room
2. Sophia
3. James
4. Claire
5. John
6. Aiden

What do you enjoy doing in your free time, Sophia?"
2,"1. Room
2. Sophia
3. James
4. Claire
5. John
6. Aiden

What is James's favorite hobby?"
3,"1. Room
2. Sophia
3. James
4. Claire
5. John
6. Aiden

What is Claire's favorite hobby?"
4,"1. Room
2. Sophia
3. James
4. Claire
5. John
6. Aiden

What is John's favorite hobby?"
5,"1. Room
2. Sophia
3. James
4. Claire
5. John
6. Aiden

What are Aiden's hobbies?"
0,"1. Room
2. Isaac
3. Scarlett
4. Mila
5. Zoe
6. Alexander

What is the color of the walls?"
1,"1. Room
2. Isaac
3. Scarlett
4. Mila
5. Zoe
6. Alexander

What is Isaac's favorite hobby?"
2,"1. Room
2. Isaac
3. Scarlett
4. Mila
5. Zoe
6. Alexander

What is Scarlett's favorite hobby?"
3,"1. Room
2. Isaac
3. Scarlett
4. Mila
5. Zoe
6. Alexander

What would Mila like to do this evening?"
4,"1. Room
2. Isaac
3. Scarlett
4. Mila
5. Zoe
6. Alexander

""What would you say is your favorite thing about Zoe?"""
5,"1. Room
2. Isaac
3. Scarlett
4. Mila
5. Zoe
6. Alexander

What does Alexander do for a living?"
0,"1. Room
2. Nicholas
3. Luna

What is the size of the room?"
1,"1. Room
2. Nicholas
3. Luna

What is Nicholas' favorite hobby?"
2,"1. Room
2. Nicholas
3. Luna

What kind of books does Luna like to read?"
0,"1. Room
2. Savannah
3. Connor

What color are the walls?"
1,"1. Room
2. Savannah
3. Connor

What interests does Savannah have?"
2,"1. Room
2. Savannah
3. Connor

What is Connor's favorite hobby?"
0,"1. Room
2. Aiden
3. Isaac
4. Owen

What color is the carpet?"
1,"1. Room
2. Aiden
3. Isaac
4. Owen

What does Aiden like to do in his free time?"
2,"1. Room
2. Aiden
3. Isaac
4. Owen

Do you know Isaac, and what does he do?"
3,"1. Room
2. Aiden
3. Isaac
4. Owen

Where is Owen from?"
0,"1. Room
2. Alexander
3. Skylar
4. Leah
5. Emilia
6. Hazel

What type of furniture is in the room?"
1,"1. Room
2. Alexander
3. Skylar
4. Leah
5. Emilia
6. Hazel

What is Alexander's favorite hobby?"
2,"1. Room
2. Alexander
3. Skylar
4. Leah
5. Emilia
6. Hazel

""What is one of Skylar's favorite hobbies?"""
3,"1. Room
2. Alexander
3. Skylar
4. Leah
5. Emilia
6. Hazel

What does Leah do for a living?"
4,"1. Room
2. Alexander
3. Skylar
4. Leah
5. Emilia
6. Hazel

What kind of interests does Emilia have?"
5,"1. Room
2. Alexander
3. Skylar
4. Leah
5. Emilia
6. Hazel

What is Hazel's favorite hobby?"
0,"1. Room
2. Nicholas
3. Hunter
4. Nathan

What color is the carpet?"
1,"1. Room
2. Nicholas
3. Hunter
4. Nathan

What is Nicholas's favorite hobby?"
2,"1. Room
2. Nicholas
3. Hunter
4. Nathan

What hobbies does Hunter enjoy?"
3,"1. Room
2. Nicholas
3. Hunter
4. Nathan

What does Nathan enjoy doing in his free time?"
0,"1. Room
2. Ryan
3. Lillian
4. Charlotte
5. Isaac
6. Avery

What is the temperature of the room?"
1,"1. Room
2. Ryan
3. Lillian
4. Charlotte
5. Isaac
6. Avery

What is Ryan's favorite hobby?"
2,"1. Room
2. Ryan
3. Lillian
4. Charlotte
5. Isaac
6. Avery

What do you like to do for fun, Lillian?"
3,"1. Room
2. Ryan
3. Lillian
4. Charlotte
5. Isaac
6. Avery

What does Charlotte do for a living?"
4,"1. Room
2. Ryan
3. Lillian
4. Charlotte
5. Isaac
6. Avery

What is Isaac's favorite hobby?"
5,"1. Room
2. Ryan
3. Lillian
4. Charlotte
5. Isaac
6. Avery

What kind of things is Avery interested in?"
0,"1. Room
2. Emilia
3. Riley
4. John

What type of furniture is in the room?"
1,"1. Room
2. Emilia
3. Riley
4. John

What kind of interests does Emilia have?"
2,"1. Room
2. Emilia
3. Riley
4. John

What does Riley think of the topic we are discussing?"
3,"1. Room
2. Emilia
3. Riley
4. John

What type of food does John like?"
0,"1. Room
2. Joseph
3. Hazel
4. Bella

What is the temperature in this room?"
1,"1. Room
2. Joseph
3. Hazel
4. Bella

""What is Joseph's favorite hobby?"""
2,"1. Room
2. Joseph
3. Hazel
4. Bella

What is Hazel's favorite hobby?"
3,"1. Room
2. Joseph
3. Hazel
4. Bella

""What kind of books does Bella like to read?"""
0,"1. Room
2. Samuel
3. Audrey
4. Bella
5. Caleb
6. Christian

What is the maximum capacity of the room?"
1,"1. Room
2. Samuel
3. Audrey
4. Bella
5. Caleb
6. Christian

Do you know Samuel personally?"
2,"1. Room
2. Samuel
3. Audrey
4. Bella
5. Caleb
6. Christian

Can you tell me a bit about your experience working with Audrey?"
3,"1. Room
2. Samuel
3. Audrey
4. Bella
5. Caleb
6. Christian

Is Bella interested in joining the conversation?"
4,"1. Room
2. Samuel
3. Audrey
4. Bella
5. Caleb
6. Christian

What type of hobbies does Caleb have?"
5,"1. Room
2. Samuel
3. Audrey
4. Bella
5. Caleb
6. Christian

What is Christian's favorite activity?"
0,"1. Room
2. Aaron
3. Hannah
4. Elizabeth
5. Aria
6. Lucas

What furniture items are in this room?"
1,"1. Room
2. Aaron
3. Hannah
4. Elizabeth
5. Aria
6. Lucas

What is Aaron's favorite hobby?"
2,"1. Room
2. Aaron
3. Hannah
4. Elizabeth
5. Aria
6. Lucas

What do you like to do in your spare time, Hannah?"
3,"1. Room
2. Aaron
3. Hannah
4. Elizabeth
5. Aria
6. Lucas

What is Elizabeth's favorite hobby?"
4,"1. Room
2. Aaron
3. Hannah
4. Elizabeth
5. Aria
6. Lucas

What languages does Aria know?"
5,"1. Room
2. Aaron
3. Hannah
4. Elizabeth
5. Aria
6. Lucas

What do you think of Lucas' ideas?"
0,"1. Room
2. Jonathan
3. Hannah
4. Charlotte

What color are the walls?"
1,"1. Room
2. Jonathan
3. Hannah
4. Charlotte

What is Jonathan's favorite hobby?"
2,"1. Room
2. Jonathan
3. Hannah
4. Charlotte

What are Hannah's hobbies and interests?"
3,"1. Room
2. Jonathan
3. Hannah
4. Charlotte

What is Charlotte's favorite hobby?"
0,"1. Room
2. Amelia
3. Logan
4. Olivia
5. Penelope

Is there a window or natural light in the room?"
1,"1. Room
2. Amelia
3. Logan
4. Olivia
5. Penelope

What are some of Amelia's hobbies or interests?"
2,"1. Room
2. Amelia
3. Logan
4. Olivia
5. Penelope

What music does Logan like to listen to?"
3,"1. Room
2. Amelia
3. Logan
4. Olivia
5. Penelope

What are Olivia's hobbies?"
4,"1. Room
2. Amelia
3. Logan
4. Olivia
5. Penelope

What interests does Penelope have?"
0,"1. Room
2. Luna
3. Sophia
4. Jordan
5. Scarlett
6. Joshua

What is the size of the room?"
1,"1. Room
2. Luna
3. Sophia
4. Jordan
5. Scarlett
6. Joshua

What is Luna's favourite hobby?"
2,"1. Room
2. Luna
3. Sophia
4. Jordan
5. Scarlett
6. Joshua

What is Sophia's favorite hobby?"
3,"1. Room
2. Luna
3. Sophia
4. Jordan
5. Scarlett
6. Joshua

What brings Jordan to this room today?"
4,"1. Room
2. Luna
3. Sophia
4. Jordan
5. Scarlett
6. Joshua

What is Scarlett's favorite hobby?"
5,"1. Room
2. Luna
3. Sophia
4. Jordan
5. Scarlett
6. Joshua

What does Joshua enjoy doing in his free time?"
0,"1. Room
2. Levi
3. Elijah
4. Ella

What type of flooring does this room have?"
1,"1. Room
2. Levi
3. Elijah
4. Ella

""What sort of activities does Levi usually do?"""
2,"1. Room
2. Levi
3. Elijah
4. Ella

What do you like most about Elijah?"
3,"1. Room
2. Levi
3. Elijah
4. Ella

What does Ella think about the current topic of discussion?"
0,"1. Room
2. Brooklyn
3. Alexander
4. Cameron
5. Mason

What is the temperature in the room?"
1,"1. Room
2. Brooklyn
3. Alexander
4. Cameron
5. Mason

What kind of activities does Brooklyn like to do?"
2,"1. Room
2. Brooklyn
3. Alexander
4. Cameron
5. Mason

What kind of personality traits does Alexander have?"
3,"1. Room
2. Brooklyn
3. Alexander
4. Cameron
5. Mason

What does Cameron do for work?"
4,"1. Room
2. Brooklyn
3. Alexander
4. Cameron
5. Mason

What does Mason do for work?"
0,"1. Room
2. Zoe
3. Eli
4. Jackson

What kind of furniture is in the room?"
1,"1. Room
2. Zoe
3. Eli
4. Jackson

What is Zoe's favorite hobby?"
2,"1. Room
2. Zoe
3. Eli
4. Jackson

What activities does Eli usually enjoy doing?"
3,"1. Room
2. Zoe
3. Eli
4. Jackson

What brings Jackson to this room?"
0,"1. Room
2. Sophia
3. Paisley
4. Noah

What type of furniture is in the room?"
1,"1. Room
2. Sophia
3. Paisley
4. Noah

What does Sophia like to do in her free time?"
2,"1. Room
2. Sophia
3. Paisley
4. Noah

What interests does Paisley have?"
3,"1. Room
2. Sophia
3. Paisley
4. Noah

What does Noah like to do in his free time?"
0,"1. Room
2. Benjamin
3. Hazel
4. Ryan
5. Layla
6. Elijah

What material is the floor made of?"
1,"1. Room
2. Benjamin
3. Hazel
4. Ryan
5. Layla
6. Elijah

What does Benjamin do for a living?"
2,"1. Room
2. Benjamin
3. Hazel
4. Ryan
5. Layla
6. Elijah

What is Hazel's favorite hobby?"
3,"1. Room
2. Benjamin
3. Hazel
4. Ryan
5. Layla
6. Elijah

What does Ryan enjoy doing in his free time?"
4,"1. Room
2. Benjamin
3. Hazel
4. Ryan
5. Layla
6. Elijah

What are your thoughts on the current situation in the room?"
5,"1. Room
2. Benjamin
3. Hazel
4. Ryan
5. Layla
6. Elijah

What does Elijah do in this room?"
0,"1. Room
2. Isabella
3. Emma

What color is the carpet in this room?"
1,"1. Room
2. Isabella
3. Emma

What is Isabella's favorite hobby?"
2,"1. Room
2. Isabella
3. Emma

What kind of work does Emma do?"
0,"1. Room
2. Connor
3. Elijah
4. Emilia
5. Owen

What type of lighting is in the room?"
1,"1. Room
2. Connor
3. Elijah
4. Emilia
5. Owen

What interests does Connor have?"
2,"1. Room
2. Connor
3. Elijah
4. Emilia
5. Owen

Do you know anything about Elijah in this room?"
3,"1. Room
2. Connor
3. Elijah
4. Emilia
5. Owen

""What does Emilia do for a living?"""
4,"1. Room
2. Connor
3. Elijah
4. Emilia
5. Owen

What are Owen's interests and hobbies?"
0,"1. Room
2. Caleb
3. Andrew
4. Aiden
5. Christopher
6. Savannah

What color are the walls?"
1,"1. Room
2. Caleb
3. Andrew
4. Aiden
5. Christopher
6. Savannah

What does Caleb like to do for fun?"
2,"1. Room
2. Caleb
3. Andrew
4. Aiden
5. Christopher
6. Savannah

What kind of work does Andrew do?"
3,"1. Room
2. Caleb
3. Andrew
4. Aiden
5. Christopher
6. Savannah

""What is Aiden's favorite hobby?"""
4,"1. Room
2. Caleb
3. Andrew
4. Aiden
5. Christopher
6. Savannah

""What are Christopher's interests?"""
5,"1. Room
2. Caleb
3. Andrew
4. Aiden
5. Christopher
6. Savannah

What kind of hobbies does Savannah enjoy?"
0,"1. Room
2. Hazel
3. Savannah

What color is the carpet in this room?"
1,"1. Room
2. Hazel
3. Savannah

What is your favorite thing to do, Hazel?"
2,"1. Room
2. Hazel
3. Savannah

What does Savannah like to do in her free time?"
0,"1. Room
2. Dylan
3. Audrey

What color is the furniture in this room?"
1,"1. Room
2. Dylan
3. Audrey

What is Dylan's favorite hobby?"
2,"1. Room
2. Dylan
3. Audrey

What language is Audrey most comfortable speaking?"
0,"1. Room
2. Avery
3. Evelyn
4. Olivia
5. Ryan
6. William

What type of lighting is in the room?"
1,"1. Room
2. Avery
3. Evelyn
4. Olivia
5. Ryan
6. William

What kind of things is Avery interested in?"
2,"1. Room
2. Avery
3. Evelyn
4. Olivia
5. Ryan
6. William

Do you know Evelyn?"
3,"1. Room
2. Avery
3. Evelyn
4. Olivia
5. Ryan
6. William

What is Olivia's favorite hobby?"
4,"1. Room
2. Avery
3. Evelyn
4. Olivia
5. Ryan
6. William

What does Ryan do for a living?"
5,"1. Room
2. Avery
3. Evelyn
4. Olivia
5. Ryan
6. William

What is William's favorite hobby?"
0,"1. Room
2. Jackson
3. Stella

What color is the carpet?"
1,"1. Room
2. Jackson
3. Stella

How is Jackson feeling today?"
2,"1. Room
2. Jackson
3. Stella

What has Stella been up to lately?"
0,"1. Room
2. Gabriella
3. Chloe

What is the temperature in the room?"
1,"1. Room
2. Gabriella
3. Chloe

What kind of things does Gabriella like to do in her free time?"
2,"1. Room
2. Gabriella
3. Chloe

What activities does Chloe enjoy doing?"
0,"1. Room
2. Adam
3. David

Is there an extra outlet available near my desk?"
1,"1. Room
2. Adam
3. David

What kind of work does Adam do?"
2,"1. Room
2. Adam
3. David

What brings David to this room today?"
0,"1. Room
2. Riley
3. Leah
4. Mila
5. Sophia

What is the maximum capacity of the room?"
1,"1. Room
2. Riley
3. Leah
4. Mila
5. Sophia

What does Riley think of the topic we are discussing?"
2,"1. Room
2. Riley
3. Leah
4. Mila
5. Sophia

What does Leah do for a living?"
3,"1. Room
2. Riley
3. Leah
4. Mila
5. Sophia

What does Mila do for a living?"
4,"1. Room
2. Riley
3. Leah
4. Mila
5. Sophia

What is your favorite thing about Sophia?"
0,"1. Room
2. Lily
3. Levi

What temperature is the room set to?"
1,"1. Room
2. Lily
3. Levi

What is Lily's favorite hobby?"
2,"1. Room
2. Lily
3. Levi

What type of work does Levi do?"
0,"1. Room
2. Savannah
3. Penelope

What is the approximate temperature of this room?"
1,"1. Room
2. Savannah
3. Penelope

What does Savannah like to do in her free time?"
2,"1. Room
2. Savannah
3. Penelope

What kind of work does Penelope do?"
0,"1. Room
2. Sophia
3. Aiden
4. Daniel
5. Scarlett

What type of flooring is in this room?"
1,"1. Room
2. Sophia
3. Aiden
4. Daniel
5. Scarlett

What is Sophia's favorite hobby?"
2,"1. Room
2. Sophia
3. Aiden
4. Daniel
5. Scarlett

""What is Aiden's favorite hobby?"""
3,"1. Room
2. Sophia
3. Aiden
4. Daniel
5. Scarlett

What is Daniel's favorite hobby?"
4,"1. Room
2. Sophia
3. Aiden
4. Daniel
5. Scarlett

What is Scarlett's favorite hobby?"
0,"1. Room
2. Lillian
3. Emily
4. Evelyn

What color is the carpet in this room?"
1,"1. Room
2. Lillian
3. Emily
4. Evelyn

Are you related to anyone else in the room, Lillian?"
2,"1. Room
2. Lillian
3. Emily
4. Evelyn

What are Emily's interests and hobbies?"
3,"1. Room
2. Lillian
3. Emily
4. Evelyn

Do you know Evelyn?"
0,"1. Room
2. Alexander
3. Jack
4. Christian
5. Wyatt

What is the square footage of this room?"
1,"1. Room
2. Alexander
3. Jack
4. Christian
5. Wyatt

What does Alexander like to do in his free time?"
2,"1. Room
2. Alexander
3. Jack
4. Christian
5. Wyatt

""What does Jack like to do for fun?"""
3,"1. Room
2. Alexander
3. Jack
4. Christian
5. Wyatt

What are Christian's hobbies?"
4,"1. Room
2. Alexander
3. Jack
4. Christian
5. Wyatt

What are Wyatt's thoughts on the current topic?"
0,"1. Room
2. Sofia
3. Christopher

What is the temperature in this room?"
1,"1. Room
2. Sofia
3. Christopher

What interests does Sofia have?"
2,"1. Room
2. Sofia
3. Christopher

What would Christopher say is his favorite food?"
0,"1. Room
2. Daniel
3. Aria
4. Victoria

What type of furniture is in the room?"
1,"1. Room
2. Daniel
3. Aria
4. Victoria

What is Daniel's favorite hobby?"
2,"1. Room
2. Daniel
3. Aria
4. Victoria

What is Aria's favorite activity?"
3,"1. Room
2. Daniel
3. Aria
4. Victoria

What is Victoria's favorite hobby?"
0,"1. Room
2. Logan
3. Joshua
4. Savannah
5. Andrew

What color are the walls?"
1,"1. Room
2. Logan
3. Joshua
4. Savannah
5. Andrew

What music does Logan like to listen to?"
2,"1. Room
2. Logan
3. Joshua
4. Savannah
5. Andrew

What does Joshua enjoy doing in his free time?"
3,"1. Room
2. Logan
3. Joshua
4. Savannah
5. Andrew

What does Savannah think about the topic we are discussing?"
4,"1. Room
2. Logan
3. Joshua
4. Savannah
5. Andrew

What does Andrew like to do in his free time?"
0,"1. Room
2. Ella
3. Paisley
4. Ellie

What is the temperature in the room?"
1,"1. Room
2. Ella
3. Paisley
4. Ellie

What does Ella think about the current topic of discussion?"
2,"1. Room
2. Ella
3. Paisley
4. Ellie

What interests does Paisley have?"
3,"1. Room
2. Ella
3. Paisley
4. Ellie

""What are your thoughts on the current discussions that are going on in the room, Ellie?"""
0,"1. Room
2. David
3. Nora
4. Emilia

What color is the carpet?"
1,"1. Room
2. David
3. Nora
4. Emilia

What does David like to do in his free time?"
2,"1. Room
2. David
3. Nora
4. Emilia

""What does Nora think about the topics we have been discussing?"""
3,"1. Room
2. David
3. Nora
4. Emilia

What kind of interests does Emilia have?"
0,"1. Room
2. Ryan
3. Landon
4. Evan
5. Paisley

What type of lighting does this room have?"
1,"1. Room
2. Ryan
3. Landon
4. Evan
5. Paisley

What does Ryan do for a living?"
2,"1. Room
2. Ryan
3. Landon
4. Evan
5. Paisley

What interests does Landon have?"
3,"1. Room
2. Ryan
3. Landon
4. Evan
5. Paisley

What interests does Evan have?"
4,"1. Room
2. Ryan
3. Landon
4. Evan
5. Paisley

What is Paisley's favorite type of music?"
0,"1. Room
2. Isaac
3. Lily

What color is the carpet in the room?"
1,"1. Room
2. Isaac
3. Lily

Do you know Isaac, and what does he do?"
2,"1. Room
2. Isaac
3. Lily

What is Lily's favorite hobby?"
0,"1. Room
2. Christian
3. Luna
4. Savannah
5. Daniel

What is the square footage of this room?"
1,"1. Room
2. Christian
3. Luna
4. Savannah
5. Daniel

What is Christian's favorite hobby?"
2,"1. Room
2. Christian
3. Luna
4. Savannah
5. Daniel

What activities does Luna enjoy?"
3,"1. Room
2. Christian
3. Luna
4. Savannah
5. Daniel

What kind of hobbies does Savannah enjoy?"
4,"1. Room
2. Christian
3. Luna
4. Savannah
5. Daniel

What is Daniel's favorite hobby?"
0,"1. Room
2. Joshua
3. Dylan
4. Penelope
5. Mia

What is the temperature of the room?"
